name, facility, ability, min_level
bamboo_joss_stick, Phonolfactory Table, Perfumery, 2
rose_incense, Phonolfactory Table, Perfumery, 2
cherry_incense, Phonolfactory Table, Perfumery, 2
lavender_incense, Phonolfactory Table, Perfumery, 2
lemon_incense, Phonolfactory Table, Perfumery, 2
advanced_lemon_incense, Phonolfactory Table, Perfumery, 2
herbal_ginseng_aroma, Phonolfactory Table, Perfumery, 3
soap, Phonolfactory Table, Perfumery, 3
premium_soap, Phonolfactory Table, Perfumery, 3
orange_flower_incense, Phonolfactory Table, Perfumery, 3
mixed_perfume, Phonolfactory Table, Perfumery, 3
lotion, Phonolfactory Table, Perfumery, 3
premium_mixed_perfume, Phonolfactory Table, Perfumery, 3
soy_sauce, Pickling Jar, Dark, 2
salted_cherry_blossom, Pickling Jar, Dark, 2
sweet_rice_drink, Pickling Jar, Dark, 2
cider_vinegar, Pickling Jar, Dark, 2
premium_sweet_rice_wine, Pickling Jar, Dark, 2
rice_vinegar, Pickling Jar, Dark, 3
salted_lemon, Pickling Jar, Dark, 3
premium_salted_lemon, Pickling Jar, Dark, 3
candied_strawberries, Pickling Jar, Dark, 3
candied_orange_flower, Pickling Jar, Dark, 3
plain_rice_porridge, Simmering Pot, Fire, 1
rose_concentrate, Simmering Pot, Fire, 2
rock_candy, Simmering Pot, Fire, 2
strawberry_jam, Simmering Pot, Fire, 2
maple_candy_apple_jam, Simmering Pot, Fire, 2
grape_jam, Simmering Pot, Fire, 3
ginseng_porridge, Simmering Pot, Fire, 3
chestnut_puree, Simmering Pot, Fire, 3
malt_sugar, Simmering Pot, Fire, 3
maple_sugar_chunk, Simmering Pot, Fire, 3
cranberry_jam, Simmering Pot, Fire, 3
cocoa_spread, Simmering Pot, Fire, 3
agave_syrup, Simmering Pot, Fire, 3
star, Starfall Hammock, Leisure, 3
sea_salt, Tidewhisper Sandcastle, Leisure, 1
quick_sea_salt, Tidewhisper Sandcastle, Leisure, 2
pearl, Tidewhisper Sandcastle, Leisure, 3
well_water, Well, Water, 1
quick_well_water, Well, Water, 1
fresh_water, Well, Water, 2
quick_fresh_water, Well, Water, 3
deep_rock_spring_water, Well, Water, 3
quick_deep_rock_spring_water, Well, Water, 3
natural_mineral_spring_water, Well, Water, 3
quick_natural_mineral_spring_water, Well, Water, 3
rough_lumber, Woodworking Bench, Artisanship, 2
standard_planks, Woodworking Bench, Artisanship, 2
laminated_beams, Woodworking Bench, Artisanship, 2
densified_timber_component, Woodworking Bench, Artisanship, 2
coarse_sifted_ore, Chimney Kiln, Fire, 2
sintered_ore_brick, Chimney Kiln, Fire, 2
refined_ore, Chimney Kiln, Fire, 2
microcrystalline_ore_plate, Chimney Kiln, Fire, 2
